section,setId,setSeq,questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,option.5,mcmcAnswer,tagRelationships,difficultyLevel
VARC,VARC-RC1,1,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

Economists have long treated their instruments as mirrors: a price index reflects inflation, an unemployment rate reflects idleness, a credit score reflects the risk that a borrower will default. The metaphor is convenient and, within limits, harmless. It becomes misleading the moment a measure acquires an audience. Once a credit score governs access to a mortgage, borrowers begin to manage the score rather than the prudence it was built to detect; lenders, in turn, price loans off the managed score. What began as a description of behaviour becomes one of the pressures that shape it. The measure is not merely inaccurate; it is productive.

It is tempting to read this as an indictment of quantification, and some critics do. The inference is too quick. Nothing in the argument shows that unmeasured judgment is more faithful to the world; loan officers working on intuition were biased in ways no one audited, and their errors, being invisible, were also uncorrectable. What the argument establishes is narrower and more awkward: the accuracy of a social measure is not a fixed property of the measure but a function of how consequential it has been allowed to become. A statistic used only by researchers may describe reasonably well what it claims to describe. The same statistic, once written into a contract or a regulation, begins to erode its own validity, and does so at a rate that has little to do with the care taken in its construction.

This has an uncomfortable corollary for institutional design. If validity decays with use, then the standard remedy, refining the metric, addresses the wrong variable. Better specification may buy time; it cannot arrest the process, because the process is driven not by measurement error but by the incentives that consequence creates. The alternatives are unattractive in different ways: rotate metrics before they are gamed, and lose comparability across periods; keep several imperfect indicators in play, and abandon the crisp accountability a single number provides; or make the metric one input among several to a judgment that remains discretionary, and therefore hard to challenge. None of these is a solution. Each is a choice about which kind of failure a system prefers to live with.

**The passage is primarily concerned with establishing which of the following?**",,200,,,,4,,Credit scoring shows how a poorly constructed statistic can end up distorting the very market that comes to depend on it.,"Because quantitative indicators are routinely gamed, consequential decisions are better left to experienced human judgment.",Social measures fail chiefly because those who design them pay too little attention to how the underlying quantity is defined.,"A measure's validity falls once it is given consequences, so refining its design cannot fix the problem.",,,VARC/reading-comprehension,0.5
VARC,VARC-RC1,2,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

Economists have long treated their instruments as mirrors: a price index reflects inflation, an unemployment rate reflects idleness, a credit score reflects the risk that a borrower will default. The metaphor is convenient and, within limits, harmless. It becomes misleading the moment a measure acquires an audience. Once a credit score governs access to a mortgage, borrowers begin to manage the score rather than the prudence it was built to detect; lenders, in turn, price loans off the managed score. What began as a description of behaviour becomes one of the pressures that shape it. The measure is not merely inaccurate; it is productive.

It is tempting to read this as an indictment of quantification, and some critics do. The inference is too quick. Nothing in the argument shows that unmeasured judgment is more faithful to the world; loan officers working on intuition were biased in ways no one audited, and their errors, being invisible, were also uncorrectable. What the argument establishes is narrower and more awkward: the accuracy of a social measure is not a fixed property of the measure but a function of how consequential it has been allowed to become. A statistic used only by researchers may describe reasonably well what it claims to describe. The same statistic, once written into a contract or a regulation, begins to erode its own validity, and does so at a rate that has little to do with the care taken in its construction.

This has an uncomfortable corollary for institutional design. If validity decays with use, then the standard remedy, refining the metric, addresses the wrong variable. Better specification may buy time; it cannot arrest the process, because the process is driven not by measurement error but by the incentives that consequence creates. The alternatives are unattractive in different ways: rotate metrics before they are gamed, and lose comparability across periods; keep several imperfect indicators in play, and abandon the crisp accountability a single number provides; or make the metric one input among several to a judgment that remains discretionary, and therefore hard to challenge. None of these is a solution. Each is a choice about which kind of failure a system prefers to live with.

**The reference to loan officers working on intuition serves mainly to:**",,200,,,,4,,suggest that decisions taken without written records can never be usefully audited,establish that discretionary human judgment was historically more faithful to the world,illustrate the process by which lenders learn to price loans off a managed score,block the conclusion that dispensing with measurement would improve accuracy,,,VARC/reading-comprehension,0.5
VARC,VARC-RC1,3,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

Economists have long treated their instruments as mirrors: a price index reflects inflation, an unemployment rate reflects idleness, a credit score reflects the risk that a borrower will default. The metaphor is convenient and, within limits, harmless. It becomes misleading the moment a measure acquires an audience. Once a credit score governs access to a mortgage, borrowers begin to manage the score rather than the prudence it was built to detect; lenders, in turn, price loans off the managed score. What began as a description of behaviour becomes one of the pressures that shape it. The measure is not merely inaccurate; it is productive.

It is tempting to read this as an indictment of quantification, and some critics do. The inference is too quick. Nothing in the argument shows that unmeasured judgment is more faithful to the world; loan officers working on intuition were biased in ways no one audited, and their errors, being invisible, were also uncorrectable. What the argument establishes is narrower and more awkward: the accuracy of a social measure is not a fixed property of the measure but a function of how consequential it has been allowed to become. A statistic used only by researchers may describe reasonably well what it claims to describe. The same statistic, once written into a contract or a regulation, begins to erode its own validity, and does so at a rate that has little to do with the care taken in its construction.

This has an uncomfortable corollary for institutional design. If validity decays with use, then the standard remedy, refining the metric, addresses the wrong variable. Better specification may buy time; it cannot arrest the process, because the process is driven not by measurement error but by the incentives that consequence creates. The alternatives are unattractive in different ways: rotate metrics before they are gamed, and lose comparability across periods; keep several imperfect indicators in play, and abandon the crisp accountability a single number provides; or make the metric one input among several to a judgment that remains discretionary, and therefore hard to challenge. None of these is a solution. Each is a choice about which kind of failure a system prefers to live with.

**The author would agree with all of the following EXCEPT:**",,265,,,,1,,A well specified metric retains its validity indefinitely if it is applied consistently.,A statistic may describe its object reasonably well while its use stays confined to research.,Errors produced by unaudited discretion are harder to correct than errors of formal measurement.,Relying on several imperfect indicators at once costs a system some of its clarity of accountability.,,,VARC/reading-comprehension,1
VARC,VARC-RC1,4,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

Economists have long treated their instruments as mirrors: a price index reflects inflation, an unemployment rate reflects idleness, a credit score reflects the risk that a borrower will default. The metaphor is convenient and, within limits, harmless. It becomes misleading the moment a measure acquires an audience. Once a credit score governs access to a mortgage, borrowers begin to manage the score rather than the prudence it was built to detect; lenders, in turn, price loans off the managed score. What began as a description of behaviour becomes one of the pressures that shape it. The measure is not merely inaccurate; it is productive.

It is tempting to read this as an indictment of quantification, and some critics do. The inference is too quick. Nothing in the argument shows that unmeasured judgment is more faithful to the world; loan officers working on intuition were biased in ways no one audited, and their errors, being invisible, were also uncorrectable. What the argument establishes is narrower and more awkward: the accuracy of a social measure is not a fixed property of the measure but a function of how consequential it has been allowed to become. A statistic used only by researchers may describe reasonably well what it claims to describe. The same statistic, once written into a contract or a regulation, begins to erode its own validity, and does so at a rate that has little to do with the care taken in its construction.

This has an uncomfortable corollary for institutional design. If validity decays with use, then the standard remedy, refining the metric, addresses the wrong variable. Better specification may buy time; it cannot arrest the process, because the process is driven not by measurement error but by the incentives that consequence creates. The alternatives are unattractive in different ways: rotate metrics before they are gamed, and lose comparability across periods; keep several imperfect indicators in play, and abandon the crisp accountability a single number provides; or make the metric one input among several to a judgment that remains discretionary, and therefore hard to challenge. None of these is a solution. Each is a choice about which kind of failure a system prefers to live with.

**It can be inferred that the author regards the erosion of a measure's validity as:**",,265,,,,1,,"incentive-driven, and hence beyond the reach of purely technical refinement",a consequence of borrowers and lenders misunderstanding what a score measures,an unavoidable feature of every attempt to describe social behaviour in numbers,slower in those cases where the measure has been constructed with greater care,,,VARC/reading-comprehension,1
VARC,VARC-RC1,5,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

Economists have long treated their instruments as mirrors: a price index reflects inflation, an unemployment rate reflects idleness, a credit score reflects the risk that a borrower will default. The metaphor is convenient and, within limits, harmless. It becomes misleading the moment a measure acquires an audience. Once a credit score governs access to a mortgage, borrowers begin to manage the score rather than the prudence it was built to detect; lenders, in turn, price loans off the managed score. What began as a description of behaviour becomes one of the pressures that shape it. The measure is not merely inaccurate; it is productive.

It is tempting to read this as an indictment of quantification, and some critics do. The inference is too quick. Nothing in the argument shows that unmeasured judgment is more faithful to the world; loan officers working on intuition were biased in ways no one audited, and their errors, being invisible, were also uncorrectable. What the argument establishes is narrower and more awkward: the accuracy of a social measure is not a fixed property of the measure but a function of how consequential it has been allowed to become. A statistic used only by researchers may describe reasonably well what it claims to describe. The same statistic, once written into a contract or a regulation, begins to erode its own validity, and does so at a rate that has little to do with the care taken in its construction.

This has an uncomfortable corollary for institutional design. If validity decays with use, then the standard remedy, refining the metric, addresses the wrong variable. Better specification may buy time; it cannot arrest the process, because the process is driven not by measurement error but by the incentives that consequence creates. The alternatives are unattractive in different ways: rotate metrics before they are gamed, and lose comparability across periods; keep several imperfect indicators in play, and abandon the crisp accountability a single number provides; or make the metric one input among several to a judgment that remains discretionary, and therefore hard to challenge. None of these is a solution. Each is a choice about which kind of failure a system prefers to live with.

**Which of the following, if true, would most weaken the author's corollary for institutional design?**",,265,,,,1,,Indicators published but never written into contracts decay at the same rate as those that are.,Regulators in practice revise their key indicators as soon as any clear evidence of widespread gaming reaches them.,Firms devote considerable resources to learning exactly how scoring models weight the inputs they receive.,Certain metrics embedded in regulation have gone on predicting the outcomes they were built to target for several decades.,,,VARC/reading-comprehension,1
VARC,VARC-RC2,1,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

Reformers who export institutions tend to work from a plausible premise: if a commercial code, a bankruptcy statute or a securities regulator produced prosperity in one place, the same text should help elsewhere. The record is not encouraging. Codes copied faithfully have been ignored, applied selectively, or absorbed into arrangements their drafters never imagined. The usual explanation is cultural: rules that suit one society's habits will not suit another's. That explanation is loose enough to accommodate any outcome, which is a reason to distrust it rather than a reason to accept it.

A tighter account starts from what a rule is for. A rule does useful work only when parties can predict how others, including officials, will respond to its breach. That prediction rests on a stock of shared expectation built up through repeated enforcement, and such a stock cannot be imported, because it is not contained in the text. A transplanted rule therefore arrives without the very thing that made it effective at home. Whether it acquires one depends less on the fit between the rule and local values than on whether somebody with something to lose finds it worth invoking, repeatedly, before officials who face some cost for ignoring it.

This reframing has consequences. It predicts that transplants will take hold in narrow commercial domains, where a few well resourced parties litigate often, before they take hold in areas of diffuse benefit, where no single stake is large enough to sustain the litigation that generates expectation. It also predicts that the most durable transplants may be the least faithful: rules bent to serve interests that already existed get enforced, while pristine copies gather dust. Reformers who measure success by fidelity to the model will therefore misread their own results, treating as failure the drift that is the mechanism of adoption.

None of this restores the reformers' optimism; it relocates the difficulty. The obstacle is not that societies are incompatible with foreign rules, but that the asset which makes rules work is produced slowly, locally, and only as a by-product of use. Where no one uses a rule, no argument about its merits will make it operative.

**Which of the following comes closest to the claim the passage is defending?**",,200,,,,3,,Reform programmes that export commercial codes to other jurisdictions should be discontinued as a matter of policy.,Bankruptcy statutes and securities regulation are the two bodies of law least suited to transfer across borders.,"Transplants stall less from cultural mismatch than from missing shared expectation, which only local use builds.",Legal transplants take root only in those societies that already share the values held by the exporting country.,,,VARC/reading-comprehension,0.5
VARC,VARC-RC2,2,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

Reformers who export institutions tend to work from a plausible premise: if a commercial code, a bankruptcy statute or a securities regulator produced prosperity in one place, the same text should help elsewhere. The record is not encouraging. Codes copied faithfully have been ignored, applied selectively, or absorbed into arrangements their drafters never imagined. The usual explanation is cultural: rules that suit one society's habits will not suit another's. That explanation is loose enough to accommodate any outcome, which is a reason to distrust it rather than a reason to accept it.

A tighter account starts from what a rule is for. A rule does useful work only when parties can predict how others, including officials, will respond to its breach. That prediction rests on a stock of shared expectation built up through repeated enforcement, and such a stock cannot be imported, because it is not contained in the text. A transplanted rule therefore arrives without the very thing that made it effective at home. Whether it acquires one depends less on the fit between the rule and local values than on whether somebody with something to lose finds it worth invoking, repeatedly, before officials who face some cost for ignoring it.

This reframing has consequences. It predicts that transplants will take hold in narrow commercial domains, where a few well resourced parties litigate often, before they take hold in areas of diffuse benefit, where no single stake is large enough to sustain the litigation that generates expectation. It also predicts that the most durable transplants may be the least faithful: rules bent to serve interests that already existed get enforced, while pristine copies gather dust. Reformers who measure success by fidelity to the model will therefore misread their own results, treating as failure the drift that is the mechanism of adoption.

None of this restores the reformers' optimism; it relocates the difficulty. The obstacle is not that societies are incompatible with foreign rules, but that the asset which makes rules work is produced slowly, locally, and only as a by-product of use. Where no one uses a rule, no argument about its merits will make it operative.

**The author's principal objection to the cultural explanation is that it:**",,200,,,,3,,draws its evidence almost entirely from transplants that are already known to have failed,confuses the substance of a rule with the circumstances under which it was drafted,"can be reconciled with any observed result, and so accounts for nothing in particular",understates the extent to which commercial habits differ from one society to another,,,VARC/reading-comprehension,0.5
VARC,VARC-RC2,3,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

Reformers who export institutions tend to work from a plausible premise: if a commercial code, a bankruptcy statute or a securities regulator produced prosperity in one place, the same text should help elsewhere. The record is not encouraging. Codes copied faithfully have been ignored, applied selectively, or absorbed into arrangements their drafters never imagined. The usual explanation is cultural: rules that suit one society's habits will not suit another's. That explanation is loose enough to accommodate any outcome, which is a reason to distrust it rather than a reason to accept it.

A tighter account starts from what a rule is for. A rule does useful work only when parties can predict how others, including officials, will respond to its breach. That prediction rests on a stock of shared expectation built up through repeated enforcement, and such a stock cannot be imported, because it is not contained in the text. A transplanted rule therefore arrives without the very thing that made it effective at home. Whether it acquires one depends less on the fit between the rule and local values than on whether somebody with something to lose finds it worth invoking, repeatedly, before officials who face some cost for ignoring it.

This reframing has consequences. It predicts that transplants will take hold in narrow commercial domains, where a few well resourced parties litigate often, before they take hold in areas of diffuse benefit, where no single stake is large enough to sustain the litigation that generates expectation. It also predicts that the most durable transplants may be the least faithful: rules bent to serve interests that already existed get enforced, while pristine copies gather dust. Reformers who measure success by fidelity to the model will therefore misread their own results, treating as failure the drift that is the mechanism of adoption.

None of this restores the reformers' optimism; it relocates the difficulty. The obstacle is not that societies are incompatible with foreign rules, but that the asset which makes rules work is produced slowly, locally, and only as a by-product of use. Where no one uses a rule, no argument about its merits will make it operative.

**On the author's account, a transplanted consumer protection rule would be expected to become operative more slowly than a transplanted secured-lending rule mainly because:**",,265,,,,3,,consumer protection sits in sharper conflict with the commercial customs prevailing locally,consumers as a group tend to be much less aware of the legal remedies formally available to them,the benefit from enforcing it is spread too thinly for repeated litigation to be worthwhile,rules governing secured lending are drafted more simply and are easier for officials to apply,,,VARC/reading-comprehension,1
VARC,VARC-RC2,4,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

Reformers who export institutions tend to work from a plausible premise: if a commercial code, a bankruptcy statute or a securities regulator produced prosperity in one place, the same text should help elsewhere. The record is not encouraging. Codes copied faithfully have been ignored, applied selectively, or absorbed into arrangements their drafters never imagined. The usual explanation is cultural: rules that suit one society's habits will not suit another's. That explanation is loose enough to accommodate any outcome, which is a reason to distrust it rather than a reason to accept it.

A tighter account starts from what a rule is for. A rule does useful work only when parties can predict how others, including officials, will respond to its breach. That prediction rests on a stock of shared expectation built up through repeated enforcement, and such a stock cannot be imported, because it is not contained in the text. A transplanted rule therefore arrives without the very thing that made it effective at home. Whether it acquires one depends less on the fit between the rule and local values than on whether somebody with something to lose finds it worth invoking, repeatedly, before officials who face some cost for ignoring it.

This reframing has consequences. It predicts that transplants will take hold in narrow commercial domains, where a few well resourced parties litigate often, before they take hold in areas of diffuse benefit, where no single stake is large enough to sustain the litigation that generates expectation. It also predicts that the most durable transplants may be the least faithful: rules bent to serve interests that already existed get enforced, while pristine copies gather dust. Reformers who measure success by fidelity to the model will therefore misread their own results, treating as failure the drift that is the mechanism of adoption.

None of this restores the reformers' optimism; it relocates the difficulty. The obstacle is not that societies are incompatible with foreign rules, but that the asset which makes rules work is produced slowly, locally, and only as a by-product of use. Where no one uses a rule, no argument about its merits will make it operative.

**The author would agree with all of the following EXCEPT:**",,265,,,,3,,Departures from the imported text can form part of the very process by which a rule is adopted.,How a rule works depends on what parties predict officials will do when the rule is breached.,"Where local values are hostile to an imported rule, enforcement cannot make it effective.",Transplants settle sooner in those fields where a small number of parties go to court frequently.,,,VARC/reading-comprehension,1
VARC,VARC-ODD-1,1,mcsc,markdown,"Five sentences are given below, labelled 1 to 5. Four of them can be arranged to form a coherent paragraph. Identify the sentence that does not belong.

(1) Every map begins with an act of omission, since a representation that kept all the detail of a place would be as unusable as the place itself.
(2) The cartographer must therefore decide in advance which features a reader will need and which can be silently discarded.
(3) Recent surveys report that most commuters now consult digital route planners rather than printed atlases.
(4) Those early decisions harden over time into conventions, and later users mistake the conventions for properties of the world.
(5) What looks like a neutral record of terrain is thus the residue of a long series of judgements about relevance.

**Which sentence is the odd one out?**",,205,,,,3,,1,2,3,4,5,,VARC/odd-one-out,0.5
