section,setId,setSeq,questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,option.5,mcmcAnswer,tagRelationships,difficultyLevel
VARC,VARC-RC1,1,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

For centuries, cartographers left blank the interiors of continents they had not surveyed, and some filled the emptiness with drawings of imagined beasts. These flourishes were not mere decoration. A map is a claim about what is worth recording, and the choice of what to include always reflects the purposes of those who commission it. A trade map emphasises ports, rivers, and the shortest routes between markets; a military map foregrounds ridges, passes, and the width of fords. Neither is a neutral mirror of the land, because no map can show everything at once. To be useful, a map must leave things out.

This selective quality is precisely what makes maps powerful and, at times, misleading. A traveller who trusts a road map assumes that the roads shown are the ones that matter, and rarely wonders about the villages the mapmaker chose to omit. When an authority draws a boundary as a firm line, the line can come to feel as solid as a wall, even where the ground itself offers no such division. In this way a map does not simply describe a territory; it quietly shapes how people imagine and argue about that territory.

Modern digital maps intensify the effect rather than dissolving it. They appear complete and objective, yet every one rests on decisions about which streets to label, which businesses to display, and which neighbourhoods to render in detail. The reader sees a clean surface and forgets the editing beneath it. Understanding a map, then, requires more than reading its symbols. It requires asking who made it, for whom, and what they had reason to leave in the blank spaces.

**Which of the following best expresses the main idea of the passage?**",,120,,,,4,,Trade maps and military maps differ chiefly because rivers matter more to merchants than mountain passes ever will.,Early cartographers decorated unknown regions with imaginary creatures to disguise the limits of their knowledge from buyers.,Digital maps have finally removed the distortions that troubled the printed maps of earlier centuries and travellers.,Maps are selective representations whose contents reflect the aims of their makers rather than a neutral picture of the land.,,,VARC/reading-comprehension,0.5
VARC,VARC-RC1,2,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

For centuries, cartographers left blank the interiors of continents they had not surveyed, and some filled the emptiness with drawings of imagined beasts. These flourishes were not mere decoration. A map is a claim about what is worth recording, and the choice of what to include always reflects the purposes of those who commission it. A trade map emphasises ports, rivers, and the shortest routes between markets; a military map foregrounds ridges, passes, and the width of fords. Neither is a neutral mirror of the land, because no map can show everything at once. To be useful, a map must leave things out.

This selective quality is precisely what makes maps powerful and, at times, misleading. A traveller who trusts a road map assumes that the roads shown are the ones that matter, and rarely wonders about the villages the mapmaker chose to omit. When an authority draws a boundary as a firm line, the line can come to feel as solid as a wall, even where the ground itself offers no such division. In this way a map does not simply describe a territory; it quietly shapes how people imagine and argue about that territory.

Modern digital maps intensify the effect rather than dissolving it. They appear complete and objective, yet every one rests on decisions about which streets to label, which businesses to display, and which neighbourhoods to render in detail. The reader sees a clean surface and forgets the editing beneath it. Understanding a map, then, requires more than reading its symbols. It requires asking who made it, for whom, and what they had reason to leave in the blank spaces.

**According to the passage, all of the following are true of maps EXCEPT:**",,110,,,,2,,The features a map emphasises depend on the purpose for which it was commissioned by its makers.,A digital map presents a complete and objective record precisely because it labels every street and business.,A boundary drawn as a firm line can come to feel solid even where the land shows no real division.,"A map cannot display everything at once, so being useful depends on deliberately leaving certain things out.",,,VARC/reading-comprehension,0.5
VARC,VARC-RC1,3,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

For centuries, cartographers left blank the interiors of continents they had not surveyed, and some filled the emptiness with drawings of imagined beasts. These flourishes were not mere decoration. A map is a claim about what is worth recording, and the choice of what to include always reflects the purposes of those who commission it. A trade map emphasises ports, rivers, and the shortest routes between markets; a military map foregrounds ridges, passes, and the width of fords. Neither is a neutral mirror of the land, because no map can show everything at once. To be useful, a map must leave things out.

This selective quality is precisely what makes maps powerful and, at times, misleading. A traveller who trusts a road map assumes that the roads shown are the ones that matter, and rarely wonders about the villages the mapmaker chose to omit. When an authority draws a boundary as a firm line, the line can come to feel as solid as a wall, even where the ground itself offers no such division. In this way a map does not simply describe a territory; it quietly shapes how people imagine and argue about that territory.

Modern digital maps intensify the effect rather than dissolving it. They appear complete and objective, yet every one rests on decisions about which streets to label, which businesses to display, and which neighbourhoods to render in detail. The reader sees a clean surface and forgets the editing beneath it. Understanding a map, then, requires more than reading its symbols. It requires asking who made it, for whom, and what they had reason to leave in the blank spaces.

**It can be inferred from the passage that a reader who wants to judge a map fairly should:**",,118,,,,3,,assume that the roads a road map displays are always the ones that truly matter,prefer digital maps to printed ones because their surfaces are cleaner and easier,consider the intentions behind the map and notice what its maker chose not to show,accept that any boundary drawn as a firm line marks a genuine division in the land,,,VARC/reading-comprehension,0.5
VARC,VARC-RC1,4,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

For centuries, cartographers left blank the interiors of continents they had not surveyed, and some filled the emptiness with drawings of imagined beasts. These flourishes were not mere decoration. A map is a claim about what is worth recording, and the choice of what to include always reflects the purposes of those who commission it. A trade map emphasises ports, rivers, and the shortest routes between markets; a military map foregrounds ridges, passes, and the width of fords. Neither is a neutral mirror of the land, because no map can show everything at once. To be useful, a map must leave things out.

This selective quality is precisely what makes maps powerful and, at times, misleading. A traveller who trusts a road map assumes that the roads shown are the ones that matter, and rarely wonders about the villages the mapmaker chose to omit. When an authority draws a boundary as a firm line, the line can come to feel as solid as a wall, even where the ground itself offers no such division. In this way a map does not simply describe a territory; it quietly shapes how people imagine and argue about that territory.

Modern digital maps intensify the effect rather than dissolving it. They appear complete and objective, yet every one rests on decisions about which streets to label, which businesses to display, and which neighbourhoods to render in detail. The reader sees a clean surface and forgets the editing beneath it. Understanding a map, then, requires more than reading its symbols. It requires asking who made it, for whom, and what they had reason to leave in the blank spaces.

**Why does the author mention trade maps and military maps in the first paragraph?**",,112,,,,3,,To suggest that the two kinds of map were usually produced by the same workshops,To prove that military needs have always mattered far more than trade did to early states everywhere,To show that different aims lead makers to highlight different features of the same land,To argue that rivers are harder to chart accurately than ridges and mountain passes,,,VARC/reading-comprehension,0.5
VARC,VARC-RC2,1,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

When a forest burns, the loss looks total. Yet many woodlands have evolved not merely to survive fire but to depend on it. The cones of certain pines are sealed shut with resin and open only when the heat of a blaze melts that seal, releasing seeds onto ground newly cleared of competitors and enriched with ash. For such trees, a fire is not a disaster but the signal to reproduce. Ecologists describe these systems as fire-adapted, and they are far more common than the popular image of fire as pure destruction suggests.

The difficulty is that not all fires are alike. A frequent, low-intensity fire clears undergrowth while leaving mature trees standing, and many species are tuned to exactly this rhythm. When people suppress every small fire in order to protect property, dead wood and dry brush accumulate year after year. The next fire, when it finally comes, burns hotter and higher than anything the forest is built to withstand, killing even the trees that would ordinarily endure. In trying to prevent fire altogether, a policy can make the eventual blaze far more severe.

This paradox has forced a rethinking of how forests are managed. In several regions, foresters now set controlled burns on purpose, choosing cool, damp days when a fire can be kept small and contained. The aim is not to eliminate fire but to restore its natural frequency, so that fuel never builds to dangerous levels. The approach demands patience and public trust, since a deliberate fire is an unsettling sight. But it reflects a hard lesson: a landscape shaped by fire cannot be kept safe by pretending fire away.

**Which of the following best states the central argument of the passage?**",,122,,,,2,,Foresters in several regions have recently begun to distrust the public's reaction to any deliberate fire.,"Because many forests are adapted to regular fire, suppressing all fires can make later blazes more destructive.",The resin-sealed cones of certain pines will open only when a passing blaze first melts the seal and then frees the seeds.,"Controlled burns should be set on damp days so that the flames stay small, contained, and easy to watch.",,,VARC/reading-comprehension,0.5
VARC,VARC-RC2,2,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

When a forest burns, the loss looks total. Yet many woodlands have evolved not merely to survive fire but to depend on it. The cones of certain pines are sealed shut with resin and open only when the heat of a blaze melts that seal, releasing seeds onto ground newly cleared of competitors and enriched with ash. For such trees, a fire is not a disaster but the signal to reproduce. Ecologists describe these systems as fire-adapted, and they are far more common than the popular image of fire as pure destruction suggests.

The difficulty is that not all fires are alike. A frequent, low-intensity fire clears undergrowth while leaving mature trees standing, and many species are tuned to exactly this rhythm. When people suppress every small fire in order to protect property, dead wood and dry brush accumulate year after year. The next fire, when it finally comes, burns hotter and higher than anything the forest is built to withstand, killing even the trees that would ordinarily endure. In trying to prevent fire altogether, a policy can make the eventual blaze far more severe.

This paradox has forced a rethinking of how forests are managed. In several regions, foresters now set controlled burns on purpose, choosing cool, damp days when a fire can be kept small and contained. The aim is not to eliminate fire but to restore its natural frequency, so that fuel never builds to dangerous levels. The approach demands patience and public trust, since a deliberate fire is an unsettling sight. But it reflects a hard lesson: a landscape shaped by fire cannot be kept safe by pretending fire away.

**According to the passage, why does suppressing every small fire eventually lead to a more severe blaze?**",,108,,,,2,,The resin seals on pine cones grow thicker each season and demand a hotter fire to open.,"Dead wood and dry brush pile up over the years, giving a later fire far more fuel to burn.",Mature trees lose their natural resistance to heat when they are protected for too long.,"Damp weather becomes rarer over time, so foresters can no longer schedule any cool burns.",,,VARC/reading-comprehension,0.5
VARC,VARC-RC2,3,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

When a forest burns, the loss looks total. Yet many woodlands have evolved not merely to survive fire but to depend on it. The cones of certain pines are sealed shut with resin and open only when the heat of a blaze melts that seal, releasing seeds onto ground newly cleared of competitors and enriched with ash. For such trees, a fire is not a disaster but the signal to reproduce. Ecologists describe these systems as fire-adapted, and they are far more common than the popular image of fire as pure destruction suggests.

The difficulty is that not all fires are alike. A frequent, low-intensity fire clears undergrowth while leaving mature trees standing, and many species are tuned to exactly this rhythm. When people suppress every small fire in order to protect property, dead wood and dry brush accumulate year after year. The next fire, when it finally comes, burns hotter and higher than anything the forest is built to withstand, killing even the trees that would ordinarily endure. In trying to prevent fire altogether, a policy can make the eventual blaze far more severe.

This paradox has forced a rethinking of how forests are managed. In several regions, foresters now set controlled burns on purpose, choosing cool, damp days when a fire can be kept small and contained. The aim is not to eliminate fire but to restore its natural frequency, so that fuel never builds to dangerous levels. The approach demands patience and public trust, since a deliberate fire is an unsettling sight. But it reflects a hard lesson: a landscape shaped by fire cannot be kept safe by pretending fire away.

**It can be inferred that the author would most likely agree with which of the following statements?**",,120,,,,4,,Popular opinion about fire is usually a reliable guide to how forests should actually be managed.,"The safest forest is one in which every fire, however small, is put out as quickly as it can be found.",Protecting the property of nearby residents should never once be counted among the goals of any modern forest-management plan.,A management policy works better when it cooperates with a landscape's natural patterns than when it fights them.,,,VARC/reading-comprehension,0.5
VARC,VARC-RC2,4,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

When a forest burns, the loss looks total. Yet many woodlands have evolved not merely to survive fire but to depend on it. The cones of certain pines are sealed shut with resin and open only when the heat of a blaze melts that seal, releasing seeds onto ground newly cleared of competitors and enriched with ash. For such trees, a fire is not a disaster but the signal to reproduce. Ecologists describe these systems as fire-adapted, and they are far more common than the popular image of fire as pure destruction suggests.

The difficulty is that not all fires are alike. A frequent, low-intensity fire clears undergrowth while leaving mature trees standing, and many species are tuned to exactly this rhythm. When people suppress every small fire in order to protect property, dead wood and dry brush accumulate year after year. The next fire, when it finally comes, burns hotter and higher than anything the forest is built to withstand, killing even the trees that would ordinarily endure. In trying to prevent fire altogether, a policy can make the eventual blaze far more severe.

This paradox has forced a rethinking of how forests are managed. In several regions, foresters now set controlled burns on purpose, choosing cool, damp days when a fire can be kept small and contained. The aim is not to eliminate fire but to restore its natural frequency, so that fuel never builds to dangerous levels. The approach demands patience and public trust, since a deliberate fire is an unsettling sight. But it reflects a hard lesson: a landscape shaped by fire cannot be kept safe by pretending fire away.

**Which word best describes the author's overall tone in the passage?**",,105,,,,1,,"Measured and explanatory, presenting a corrective view of a common belief","Alarmed and urgent, warning that forests everywhere face imminent collapse","Playful and ironic, mocking the foresters who still set deliberate burns","Nostalgic and mournful, lamenting woodlands that can no longer be saved",,,VARC/reading-comprehension,0.5
VARC,VARC-RC3,1,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

The public library began as a simple idea: that useful books should be available to anyone, not only to those who could afford to buy them. Early lending libraries charged a small fee, which kept out the very readers who might have gained the most. The breakthrough came when towns agreed to pay for libraries out of shared taxes, so that borrowing became free at the point of use. A reader needed only to live in the town and to return the books on time. For many families, the library was the first place where knowledge cost nothing.

Over time, libraries grew into something larger than shelves of books. They became quiet places to study, warm rooms to sit in, and centres where people could ask a trained librarian for help finding what they needed. Children attended reading hours, job seekers used the desks, and newcomers to a town found notices about local life. The building offered not just texts but a shared space open to all, regardless of wealth.

Today, when a great deal of information sits a click away, some people ask whether libraries are still needed. Yet the answer many communities give is yes. Not everyone owns a computer or a quiet place to work, and not every question is easily answered by a search engine. The library remains what it has long been: a place where help and knowledge are offered freely, to whoever walks through the door.

**Which of the following best captures the main point of the passage?**",,95,,,,2,,Librarians spend more of their time helping job seekers than assisting young children.,The public library has long offered free access to knowledge and remains valuable today.,Early lending libraries failed mainly because the fees they charged were set far too high.,Search engines have replaced most of the services that public libraries once provided.,,,VARC/reading-comprehension,0
VARC,VARC-RC3,2,mcsc,markdown,"**Read the following passage carefully and answer the question that follows.**

The public library began as a simple idea: that useful books should be available to anyone, not only to those who could afford to buy them. Early lending libraries charged a small fee, which kept out the very readers who might have gained the most. The breakthrough came when towns agreed to pay for libraries out of shared taxes, so that borrowing became free at the point of use. A reader needed only to live in the town and to return the books on time. For many families, the library was the first place where knowledge cost nothing.

Over time, libraries grew into something larger than shelves of books. They became quiet places to study, warm rooms to sit in, and centres where people could ask a trained librarian for help finding what they needed. Children attended reading hours, job seekers used the desks, and newcomers to a town found notices about local life. The building offered not just texts but a shared space open to all, regardless of wealth.

Today, when a great deal of information sits a click away, some people ask whether libraries are still needed. Yet the answer many communities give is yes. Not everyone owns a computer or a quiet place to work, and not every question is easily answered by a search engine. The library remains what it has long been: a place where help and knowledge are offered freely, to whoever walks through the door.

**According to the passage, what change made borrowing free at the point of use?**",,90,,,,2,,Librarians volunteered their time so that no salaries had to be paid at all.,Towns agreed to fund libraries through shared taxes instead of charging each reader.,Publishers lowered the price of books until borrowing them cost almost nothing.,Wealthy donors bought up large private collections of books and then handed them over to the towns.,,,VARC/reading-comprehension,0
